State,Canada,China,ESA,Germany,India,Japan,Multinational,Netherlands,Russia,United Kingdom,USA
1988,0,0,0,0,0,0,0,0,0,0,1
1989,0,0,0,0,0,1,0,0,0,0,1
1990,0,0,0,0,0,0,0,0,0,1,1
1991,0,0,0,0,0,0,0,0,0,0,1
1992,0,0,0,0,0,0,1,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,1,4
1994,0,0,0,0,0,0,0,0,1,0,3
1995,0,0,0,0,0,0,0,0,0,0,5
1996,0,1,0,0,0,0,1,0,1,3,4
1997,0,0,0,0,0,2,2,1,0,1,49
1998,0,1,0,0,0,0,2,1,0,1,53
1999,0,1,1,1,0,1,4,0,1,1,29
2000,1,0,4,0,0,2,2,1,0,0,22
2001,0,0,2,1,0,0,2,0,2,1,11
2002,1,0,0,0,2,3,5,2,3,0,19
2003,2,2,0,0,3,1,1,0,4,0,16
2004,1,4,0,0,0,0,3,0,3,0,12
2005,1,3,0,0,2,1,2,1,5,2,13
2006,0,4,0,1,0,5,6,0,4,0,13
2007,2,4,0,3,3,1,3,0,5,2,23
2008,3,11,0,7,1,3,3,1,6,2,12
2009,2,6,2,2,2,7,3,2,8,1,18
2010,0,19,1,2,2,2,4,0,12,1,22
2011,3,17,2,0,5,3,4,0,10,0,29
2012,2,23,2,1,2,3,4,0,10,2,29
2013,5,14,4,4,3,4,4,1,17,6,41
2014,4,22,3,1,4,13,3,0,22,10,39
2015,2,44,7,0,4,3,5,0,15,6,79