Purpose,Communications,Earth Observation,Earth Science,Navigation,Space Observation,Space Science,Technology Demonstration,Technology Development
1988,1,0,0,0,0,0,0,0
1989,1,0,0,0,0,1,0,0
1990,1,0,0,1,0,1,0,0
1991,1,0,0,0,0,0,0,0
1992,0,0,0,0,0,1,0,0
1993,4,1,0,1,0,0,0,0
1994,5,1,0,0,0,0,0,0
1995,8,0,0,0,0,0,0,0
1996,13,1,0,0,0,0,0,0
1997,49,6,0,1,0,0,0,0
1998,58,3,0,0,0,0,0,0
1999,34,5,1,1,0,2,0,0
2000,27,4,0,3,0,4,0,1
2001,16,4,0,1,0,1,1,1
2002,36,6,0,0,0,2,0,1
2003,22,4,1,3,0,3,0,2
2004,18,7,0,3,0,3,0,2
2005,23,8,0,2,0,2,0,1
2006,20,17,1,5,0,3,0,2
2007,31,17,0,7,0,3,0,3
2008,29,21,0,2,0,4,0,5
2009,33,19,0,4,0,1,1,11
2010,33,19,0,13,1,4,0,5
2011,43,27,0,12,0,2,0,8
2012,38,28,1,9,0,2,0,12
2013,47,28,2,3,2,7,0,36
2014,56,55,0,11,2,5,0,25
2015,58,62,1,14,0,10,4,37